QUERY,FREQ,is_question,question_type
where is mica found,817,1,unknown
what causes cheese to mold,289,1,what
what is carpe diem,563,1,what
what do baby sparrows eat,956,1,what
how did anne frank get caught,628,1,unknown
what is the purpose of respiration,295,1,what
what should i eat for dinner,524,1,what
what is quebec famous for,395,1,what
what was the kansas nebraska act,296,1,what
what are polyps in the uterus,2191,1,what
what is graviola,650,1,what
what is 3g network,382,1,what
what is fat tuesday,650,1,what
how did kunta kinte die,801,1,unknown
what is a theme,1269,1,what
how old is adam levine,996,1,unknown
how do bones repair themselves,617,1,unknown
what does prognosis mean,307,1,what
why are rivers important to people,248,1,unknown
how do i make liquid glucose,274,1,unknown
how does marijuana enter the body,737,1,unknown
what is 20 30 vision,1619,1,what
what is carpet made of,651,1,what
what is a plane figure,376,1,what
what is immune system,413,1,what
how much is rv storage,613,1,unknown
what is the density of plywood,251,1,what
how tall is jennifer aniston,311,1,unknown
what is a sugar gliders,312,1,what
why does my right ovary hurt,296,1,unknown
what is marketing,1630,1,what
gray hair highlights,781,1,what
what is a reciprocal in math,313,1,what
what is babylon search,914,1,what
what is neuropathy of the feet,635,1,what
what is holy basil,350,1,what
what does epidemic mean,286,1,what
what causes stomach ulcers,2578,1,what
where can i buy juice plus,387,1,unknown
what causes amyloidosis,257,1,what
what is colorectal screening,308,1,what
what religion is katrina kaif,2000,1,what
what does the sec do,1173,1,what
what is mercedes benz target market,552,1,what
how many neutrons does magnesium have,546,1,unknown
what is a horses habitat,2088,1,what
who is zendaya coleman,612,1,who
what is brazil famous for,457,1,what
what are jeri ryan s measurements,450,1,what
how do i get wifi,1237,1,unknown
what does selectively permeable mean,367,1,what
how get nail polish out carpet,1060,1,unknown
how long do you boil artichokes,297,1,unknown
what is a lyme disease,1741,1,what
how make cha lua,278,1,unknown
how to download free music?,469,1,unknown
how much does an ipad cost,876,1,unknown
what chemicals are in fertilizer,364,1,what
how does the spinning jenny work,671,1,unknown
what is ecoli,444,1,what
what is bbbj,323,1,what
what are symptoms of uti,695,1,what
who is the president of mexico,292,1,who
how much did abraham lincoln weigh,654,1,unknown
who discovered the element iron,722,1,who
what is maca powder benefits,2549,1,what
where did gandhi die,455,1,unknown
what is an allusion,498,1,what
how much does the moon weigh,251,1,unknown
what causes petechiae,527,1,what
what is pdf format,733,1,what
what does mercantilism mean,673,1,what
what is information technology,707,1,what
who is dr  chauncey crandall,322,1,who
what is stress,1782,1,what
what is the femur bone,436,1,what
what is monotheism,368,1,what
what is chronological order,11789,1,what
what is the capital of illinois,330,1,what
what is my astrology sign,262,1,what
what is the cure for diabetes,651,1,what
what does kappa mean,1253,1,what
who discovered the golden ratio,441,1,who
why is corporate governance important,440,1,unknown
what does kinetic energy mean,284,1,what
what does ego mean,1415,1,what
what does the spinal cord do,404,1,what
what does the name lauren mean,266,1,what
how many people attend,863,1,unknown
what is a colon infection,459,1,what
how grow thyme,379,1,unknown
what is protonix used for,397,1,what
who invented the traffic light,839,1,who
where is magnesium found,331,1,unknown
how can i find someone,414,1,unknown
what causes floaters in the eye,562,1,what
where is the amazon rainforest located,2500,1,unknown
what does fob stand for,310,1,what
which animal has the most teeth,271,1,unknown
what is appearance,321,1,what
how does a spring work,474,1,unknown
who is ron howard,496,1,who
what is a rastafarian,397,1,what
what is mycelium,247,1,what
what is a blue diamond,253,1,what
what causes foot corns,329,1,what
how do we get electricity,363,1,unknown
where is yosemite national park located,830,1,unknown
what is a non newtonian fluid,976,1,what
what do cherries symbolize,255,1,what
what is determination,437,1,what
how long do pimples last,372,1,unknown
how big do beagles get,296,1,unknown
who invented the magnifying glass,374,1,who
what does low blood sugar mean,290,1,what
what countries practice christianity,571,1,what
what do ocean fish eat,687,1,what
what is garam marsala,494,1,what
how do droughts form,346,1,unknown
what do muskrats eat,736,1,what
what is the mediterranean diet shtml,298,1,what
what does post secondary education mean,552,1,what
how many satellites does venus have,456,1,unknown
what is lysine used for,275,1,what
how much is old money worth,604,1,unknown
what does a gnat look like,404,1,what
what did the cherokee indians eat,372,1,what
what time is it in,269,1,when
what causes low red blood count,1428,1,what
what is the environment,511,1,what
what does the hymen look like,725,1,what
who won the first world war,759,1,who
how much do prosthetic fingers cost,341,1,unknown
what is international trade,357,1,what
who framed roger rabbit,305,1,who
who is kelly tilghman,567,1,who
what time does dunkin donuts open,1776,1,when
what is whipworm in dogs,355,1,what
why do people talk to themselves,528,1,unknown
what is stage four lung cancer,473,1,what
what is chondromalacia,539,1,what
what is the poverty level,268,1,what
what is a domestic profit corporation,448,1,what
what does an echocardiogram show?,248,1,what
who invented the tampon,469,1,who
when did texas become a state,1235,1,when
where does nuclear power come from,570,1,unknown
where can i buy gypsum,311,1,unknown
why do stitches itch,277,1,unknown
how tall is a leprechaun,426,1,unknown
what is proportion in art,733,1,what
what are the five animal kingdoms,294,1,what
what level does nidoran evolve,363,1,what
when does the sunday holiday started,279,1,when
what is the viscosity of water,285,1,what
what causes thrush mouth,732,1,what
what does bistro mean,802,1,what
where is newfoundland located,252,1,unknown
what is soil,625,1,what
what is a private sector organisation,264,1,what
who is tatyana ali s father,378,1,who
where find boulders sale,535,1,unknown
what is the best ceiling fan,311,1,what
where is the gallbladder,312,1,unknown
what does distinguish mean,325,1,what
what causes tinnitus,1474,1,what
what is the average human iq,476,1,what
what is methandienone,491,1,what
what plants grow in acidic soil,258,1,what
what causes enlarged lymph nodes,485,1,what
how do steam engines work,476,1,unknown
how old is vin diesel,365,1,unknown
what are ferrous metals,298,1,what
who makes subaru cars,803,1,who
what does magnesium smell like,289,1,what
what does tongue cancer look like,3653,1,what
what does low potassium mean,285,1,what
what is the gall bladder,378,1,what
what is an agnostic,444,1,what
what do my name mean,335,1,what
how long is a check valid,646,1,unknown
what are the 7 continents,11429,1,what
why is reading important,750,1,unknown
where is czechoslovakia located,480,1,unknown
what is bookkeeping,284,1,what
what is troy ounce,1309,1,what
what does chlamydia look like,594,1,what
where did christopher columbus live,646,1,unknown
what is a surname,454,1,what
what is cellulites,2440,1,what
what is the rough endoplasmic reticulum,340,1,what
where is area code 719,410,1,unknown
what does a mockingbird look like,689,1,what
what is autocad used for,259,1,what
why are giant pandas endangered,445,1,unknown
what is kirsch,322,1,what
what does the judicial branch do,1115,1,what
what causes dark elbows,772,1,what
how can i delay my period,347,1,unknown
what is a centipede,520,1,what
what states allow studded snow tires,465,1,what
what is social darwinism,698,1,what
what color goes with burgundy,1187,1,what
what is business finance,318,1,what
what is aerodynamics,324,1,what
who invented smart goals,548,1,who
who discovered sound,251,1,who
who discovered easter island,381,1,who
what is nail fungus,1830,1,what
which foods cause eczema,893,1,unknown
what did rachel carson invent,251,1,what
what do barn owls eat,683,1,what
what is mechanical engineer,341,1,what
what is a sole proprietorship,384,1,what
what are symptoms of a hernia,424,1,what
what does smart stand for,488,1,what
where was jesus crucified,375,1,unknown
where is tahiti located,1387,1,unknown
how is ms diagnosed,391,1,unknown
what is ph,820,1,what
where is greenland located,249,1,unknown
what is theoretical perspective,1106,1,what
what do slugs eat,1018,1,what
where is gallbladder,842,1,unknown
what animals live in wetlands,458,1,what
what is agnostic beliefs,276,1,what
how long is implantation bleeding,468,1,unknown
why is cloning bad,473,1,unknown
what is tyler perry contact info,490,1,what
what does medicare part b cover,440,1,what
what is an earthquakes,358,1,what
what do lizards look like,364,1,what
why was john adams important,601,1,unknown
what is gaba,261,1,what
what is a spastic colon,510,1,what
who invented recycling,401,1,who
what is high tea,263,1,what
why is dick short for richard,1640,1,unknown
how old is the queen,470,1,unknown
what is 3rd base in relationships,298,1,what
how does a comet begin,274,1,unknown
how do wetlands form,375,1,unknown
what is kosher food,304,1,what
what does gabriel mean,526,1,what
what causes hypothyroidism,355,1,what
what is a liter,294,1,what
what year did nintendo come out,464,1,what
what is a subject pronoun,508,1,what
why is management necessary?,286,1,unknown
what is an interval in math,703,1,what
what objects are cone shaped,508,1,what
who is daniel boone,441,1,who
who lives here,1422,1,who
who is my boyfriend,298,1,who
what does bmo stand for,322,1,what
where s my refund?,623,1,unknown
where is kiawah island,580,1,unknown
what is the capital of sweden,415,1,what
who are ikea competitors,1867,1,who
what channel is trutv,540,1,what
how do you store fresh garlic,473,1,unknown
who is leonardo dicaprio s wife,1670,1,who
what years were the 19th century,477,1,what
what is mange,260,1,what
what is an irregular verb,636,1,what
where do komodo dragons live,394,1,unknown
what do hyenas eat,593,1,what
what is a penguins habitat,455,1,what
what is snap do,371,1,what
what do rodents eat,311,1,what
where do meerkats live,537,1,unknown
who united upper and lower egypt,380,1,who
what does the attorney general do,265,1,what
what is mitral valve regurgitation,427,1,what
who was the original gerber baby,332,1,who
what causes rapid weight loss,268,1,what
what is anxiety disorders,248,1,what
what do box elder bugs eat,1228,1,what
how many days does ovulation last,622,1,unknown
how many ounces is a shot,293,1,unknown
what are signs and symptoms,631,1,what
what is stock exchange,272,1,what
what is a geopolitical community,325,1,what
where is stein mart located,856,1,unknown
where do nuts come from,369,1,unknown
what is gout arthritis,520,1,what
how long can pizza sit out,556,1,unknown
who invented steel,952,1,who
how much is scrap gold worth,317,1,unknown
why do my armpits smell bad,592,1,unknown
what does an alternator do,1120,1,what
how much is my traffic ticket,253,1,unknown
what is caesar augustus famous for,262,1,what
what is credit,423,1,what
how much money do chefs make,1817,1,unknown
who is miley cyrus boyfriend,337,1,who
what is charge syndrome,320,1,what
